PGN	Parameter Group Label	SPN	Name	Data Range
64808	Basic Joystick Message 8	4647	Joystick 8 Y-Axis Detent Position Status	0 to 3
64808	Basic Joystick Message 8	4648	Joystick 8 X-Axis Detent Position Status	0 to 3
64808	Basic Joystick Message 8	4649	Joystick 8 Button 4 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4650	Joystick 8 Button 3 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4651	Joystick 8 Button 2 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4652	Joystick 8 Button 1 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4653	Joystick 8 Button 8 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4654	Joystick 8 Button 7 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4655	Joystick 8 Button 6 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4656	Joystick 8 Button 5 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4657	Joystick 8 Button 12 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4658	Joystick 8 Button 11 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4659	Joystick 8 Button 10 Pressed Status	0 to 3
64808	Basic Joystick Message 8	4660	Joystick 8 Button 9 Pressed Status	0 to 3
64809	Extended Joystick Message 7	4624	Joystick 7 Grip X-Axis Neutral Position Status	0 to 3
64809	Extended Joystick Message 7	4625	Joystick 7 Grip X-Axis Lever Left Negative Position Status	0 to 3
64809	Extended Joystick Message 7	4626	Joystick 7 Grip X-Axis Lever Right Positive Position Status	0 to 3
64809	Extended Joystick Message 7	4627	Joystick 7 Grip X-Axis Position	0 to 102 %
64809	Extended Joystick Message 7	4628	Joystick 7 Grip Y-Axis Neutral Position Status	0 to 3
64809	Extended Joystick Message 7	4629	Joystick 7 Grip Y-Axis Lever Back Negative Position Status	0 to 3
64809	Extended Joystick Message 7	4630	Joystick 7 Grip Y-Axis Lever Forward Positive Position Status	0 to 3
64809	Extended Joystick Message 7	4631	Joystick 7 Grip Y-Axis Position	0 to 102 %
64809	Extended Joystick Message 7	4632	Joystick 7 Theta-Axis Neutral Position Status	0 to 3
64809	Extended Joystick Message 7	4633	Joystick 7 Theta-Axis Counter Clockwise Negative Position Status	0 to 3
64809	Extended Joystick Message 7	4634	Joystick 7 Theta-Axis Clockwise Positive Position Status	0 to 3
64809	Extended Joystick Message 7	4635	Joystick 7 Theta-Axis Position	0 to 102 %
64809	Extended Joystick Message 7	4636	Joystick 7 Theta-Axis Detent Position Status	0 to 3
64809	Extended Joystick Message 7	4637	Joystick 7 Grip Y-Axis Detent Position Status	0 to 3
64809	Extended Joystick Message 7	4638	Joystick 7 Grip X-Axis Detent Position Status	0 to 3
64810	Basic Joystick Message 7	4602	Joystick 7 X-Axis Neutral Position Status	0 to 3
64810	Basic Joystick Message 7	4603	Joystick 7 X-Axis Lever Left Negative Position Status	0 to 3
64810	Basic Joystick Message 7	4604	Joystick 7 X-Axis Lever Right Positive Position Status	0 to 3
64810	Basic Joystick Message 7	4605	Joystick 7 X-Axis Position	0 to 102 %
64810	Basic Joystick Message 7	4606	Joystick 7 Y-Axis Neutral Position Status	0 to 3
64810	Basic Joystick Message 7	4607	Joystick 7 Y-Axis Lever Back Negative Position Status	0 to 3
64810	Basic Joystick Message 7	4608	Joystick 7 Y-Axis Lever Forward Positive Position Status	0 to 3
64810	Basic Joystick Message 7	4609	Joystick 7 Y-Axis Position	0 to 102 %
64810	Basic Joystick Message 7	4610	Joystick 7 Y-Axis Detent Position Status	0 to 3
64810	Basic Joystick Message 7	4611	Joystick 7 X-Axis Detent Position Status	0 to 3
64810	Basic Joystick Message 7	4612	Joystick 7 Button 4 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4613	Joystick 7 Button 3 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4614	Joystick 7 Button 2 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4615	Joystick 7 Button 1 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4616	Joystick 7 Button 8 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4617	Joystick 7 Button 7 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4618	Joystick 7 Button 6 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4619	Joystick 7 Button 5 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4620	Joystick 7 Button 12 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4621	Joystick 7 Button 11 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4622	Joystick 7 Button 10 Pressed Status	0 to 3
64810	Basic Joystick Message 7	4623	Joystick 7 Button 9 Pressed Status	0 to 3
64811	Extended Joystick Message 6	4587	Joystick 6 Grip X-Axis Neutral Position Status	0 to 3
64811	Extended Joystick Message 6	4588	Joystick 6 Grip X-Axis Lever Left Negative Position Status	0 to 3
64811	Extended Joystick Message 6	4589	Joystick 6 Grip X-Axis Lever Right Positive Position Status	0 to 3
64811	Extended Joystick Message 6	4590	Joystick 6 Grip X-Axis Position	0 to 102 %
64811	Extended Joystick Message 6	4591	Joystick 6 Grip Y-Axis Neutral Position Status	0 to 3
64811	Extended Joystick Message 6	4592	Joystick 6 Grip Y-Axis Lever Back Negative Position Status	0 to 3
64811	Extended Joystick Message 6	4593	Joystick 6 Grip Y-Axis Lever Forward Positive Position Status	0 to 3
64811	Extended Joystick Message 6	4594	Joystick 6 Grip Y-Axis Position	0 to 102 %
64811	Extended Joystick Message 6	4595	Joystick 6 Theta-Axis Neutral Position Status	0 to 3
64811	Extended Joystick Message 6	4596	Joystick 6 Theta-Axis Counter Clockwise Negative Position Status	0 to 3
64811	Extended Joystick Message 6	4597	Joystick 6 Theta-Axis Clockwise Positive Position Status	0 to 3
64811	Extended Joystick Message 6	4598	Joystick 6 Theta-Axis Position	0 to 102 %
64811	Extended Joystick Message 6	4599	Joystick 6 Theta-Axis Detent Position Status	0 to 3
64811	Extended Joystick Message 6	4600	Joystick 6 Grip Y-Axis Detent Position Status	0 to 3
64811	Extended Joystick Message 6	4601	Joystick 6 Grip X-Axis Detent Position Status	0 to 3
64812	Basic Joystick Message 6	4565	Joystick 6 X-Axis Neutral Position Status	0 to 3
64812	Basic Joystick Message 6	4566	Joystick 6 X-Axis Lever Left Negative Position Status	0 to 3
64812	Basic Joystick Message 6	4567	Joystick 6 X-Axis Lever Right Positive Position Status	0 to 3
64812	Basic Joystick Message 6	4568	Joystick 6 X-Axis Position	0 to 102 %
64812	Basic Joystick Message 6	4569	Joystick 6 Y-Axis Neutral Position Status	0 to 3
64812	Basic Joystick Message 6	4570	Joystick 6 Y-Axis Lever Back Negative Position Status	0 to 3
64812	Basic Joystick Message 6	4571	Joystick 6 Y-Axis Lever Forward Positive Position Status	0 to 3
64812	Basic Joystick Message 6	4572	Joystick 6 Y-Axis Position	0 to 102 %
64812	Basic Joystick Message 6	4573	Joystick 6 Y-Axis Detent Position Status	0 to 3
64812	Basic Joystick Message 6	4574	Joystick 6 X-Axis Detent Position Status	0 to 3
64812	Basic Joystick Message 6	4575	Joystick 6 Button 4 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4576	Joystick 6 Button 3 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4577	Joystick 6 Button 2 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4578	Joystick 6 Button 1 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4579	Joystick 6 Button 8 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4580	Joystick 6 Button 7 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4581	Joystick 6 Button 6 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4582	Joystick 6 Button 5 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4583	Joystick 6 Button 12 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4584	Joystick 6 Button 11 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4585	Joystick 6 Button 10 Pressed Status	0 to 3
64812	Basic Joystick Message 6	4586	Joystick 6 Button 9 Pressed Status	0 to 3
64813	Extended Joystick Message 5	4550	Joystick 5 Grip X-Axis Neutral Position Status	0 to 3
64813	Extended Joystick Message 5	4551	Joystick 5 Grip X-Axis Lever Left Negative Position Status	0 to 3
64813	Extended Joystick Message 5	4552	Joystick 5 Grip X-Axis Lever Right Positive Position Status	0 to 3
64813	Extended Joystick Message 5	4553	Joystick 5 Grip X-Axis Position	0 to 102 %
64813	Extended Joystick Message 5	4554	Joystick 5 Grip Y-Axis Neutral Position Status	0 to 3
64813	Extended Joystick Message 5	4555	Joystick 5 Grip Y-Axis Lever Back Negative Position Status	0 to 3
64813	Extended Joystick Message 5	4556	Joystick 5 Grip Y-Axis Lever Forward Positive Position Status	0 to 3
64813	Extended Joystick Message 5	4557	Joystick 5 Grip Y-Axis Position	0 to 102 %
64813	Extended Joystick Message 5	4558	Joystick 5 Theta-Axis Neutral Position Status	0 to 3
64813	Extended Joystick Message 5	4559	Joystick 5 Theta-Axis Counter Clockwise Negative Position Status	0 to 3
64813	Extended Joystick Message 5	4560	Joystick 5 Theta-Axis Clockwise Positive Position Status	0 to 3
64813	Extended Joystick Message 5	4561	Joystick 5 Theta-Axis Position	0 to 102 %
64813	Extended Joystick Message 5	4562	Joystick 5 Theta-Axis Detent Position Status	0 to 3
64813	Extended Joystick Message 5	4563	Joystick 5 Grip Y-Axis Detent Position Status	0 to 3
64813	Extended Joystick Message 5	4564	Joystick 5 Grip X-Axis Detent Position Status	0 to 3
64814	Basic Joystick Message 5	4528	Joystick 5 X-Axis Neutral Position Status	0 to 3
64814	Basic Joystick Message 5	4529	Joystick 5 X-Axis Lever Left Negative Position Status	0 to 3
64814	Basic Joystick Message 5	4530	Joystick 5 X-Axis Lever Right Positive Position Status	0 to 3
64814	Basic Joystick Message 5	4531	Joystick 5 X-Axis Position	0 to 102 %
64814	Basic Joystick Message 5	4532	Joystick 5 Y-Axis Neutral Position Status	0 to 3
64814	Basic Joystick Message 5	4533	Joystick 5 Y-Axis Lever Back Negative Position Status	0 to 3
64814	Basic Joystick Message 5	4534	Joystick 5 Y-Axis Lever Forward Positive Position Status	0 to 3
64814	Basic Joystick Message 5	4535	Joystick 5 Y-Axis Position	0 to 102 %
64814	Basic Joystick Message 5	4536	Joystick 5 Y-Axis Detent Position Status	0 to 3
64814	Basic Joystick Message 5	4537	Joystick 5 X-Axis Detent Position Status	0 to 3
64814	Basic Joystick Message 5	4538	Joystick 5 Button 4 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4539	Joystick 5 Button 3 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4540	Joystick 5 Button 2 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4541	Joystick 5 Button 1 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4542	Joystick 5 Button 8 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4543	Joystick 5 Button 7 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4544	Joystick 5 Button 6 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4545	Joystick 5 Button 5 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4546	Joystick 5 Button 12 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4547	Joystick 5 Button 11 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4548	Joystick 5 Button 10 Pressed Status	0 to 3
64814	Basic Joystick Message 5	4549	Joystick 5 Button 9 Pressed Status	0 to 3
64815	Extended Joystick Message 4	4513	Joystick 4 Grip X-Axis Neutral Position Status	0 to 3
64815	Extended Joystick Message 4	4514	Joystick 4 Grip X-Axis Lever Left Negative Position Status	0 to 3
64815	Extended Joystick Message 4	4515	Joystick 4 Grip X-Axis Lever Right Positive Position Status	0 to 3
64815	Extended Joystick Message 4	4516	Joystick 4 Grip X-Axis Position	0 to 102 %
64815	Extended Joystick Message 4	4517	Joystick 4 Grip Y-Axis Neutral Position Status	0 to 3
64815	Extended Joystick Message 4	4518	Joystick 4 Grip Y-Axis Lever Back Negative Position Status	0 to 3
64815	Extended Joystick Message 4	4519	Joystick 4 Grip Y-Axis Lever Forward Positive Position Status	0 to 3
64815	Extended Joystick Message 4	4520	Joystick 4 Grip Y-Axis Position	0 to 102 %
64815	Extended Joystick Message 4	4521	Joystick 4 Theta-Axis Neutral Position Status	0 to 3
64815	Extended Joystick Message 4	4522	Joystick 4 Theta-Axis Counter Clockwise Negative Position Status	0 to 3
64815	Extended Joystick Message 4	4523	Joystick 4 Theta-Axis Clockwise Positive Position Status	0 to 3
64815	Extended Joystick Message 4	4524	Joystick 4 Theta-Axis Position	0 to 102 %
64815	Extended Joystick Message 4	4525	Joystick 4 Theta-Axis Detent Position Status	0 to 3
64815	Extended Joystick Message 4	4526	Joystick 4 Grip Y-Axis Detent Position Status	0 to 3
64815	Extended Joystick Message 4	4527	Joystick 4 Grip X-Axis Detent Position Status	0 to 3
64816	Basic Joystick Message 4	4491	Joystick 4 X-Axis Neutral Position Status	0 to 3
64816	Basic Joystick Message 4	4492	Joystick 4 X-Axis Lever Left Negative Position Status	0 to 3
64816	Basic Joystick Message 4	4493	Joystick 4 X-Axis Lever Right Positive Position Status	0 to 3
64816	Basic Joystick Message 4	4494	Joystick 4 X-Axis Position	0 to 102 %
64816	Basic Joystick Message 4	4495	Joystick 4 Y-Axis Neutral Position Status	0 to 3
64816	Basic Joystick Message 4	4496	Joystick 4 Y-Axis Lever Back Negative Position Status	0 to 3
64816	Basic Joystick Message 4	4497	Joystick 4 Y-Axis Lever Forward Positive Position Status	0 to 3
64816	Basic Joystick Message 4	4498	Joystick 4 Y-Axis Position	0 to 102 %
64816	Basic Joystick Message 4	4499	Joystick 4 Y-Axis Detent Position Status	0 to 3
64816	Basic Joystick Message 4	4500	Joystick 4 X-Axis Detent Position Status	0 to 3
64816	Basic Joystick Message 4	4501	Joystick 4 Button 4 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4502	Joystick 4 Button 3 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4503	Joystick 4 Button 2 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4504	Joystick 4 Button 1 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4505	Joystick 4 Button 8 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4506	Joystick 4 Button 7 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4507	Joystick 4 Button 6 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4508	Joystick 4 Button 5 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4509	Joystick 4 Button 12 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4510	Joystick 4 Button 11 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4511	Joystick 4 Button 10 Pressed Status	0 to 3
64816	Basic Joystick Message 4	4512	Joystick 4 Button 9 Pressed Status	0 to 3
64817	Joystick Lamp Command Message	4460	Joystick 1 Lamp 1 Command	0 to 3
64817	Joystick Lamp Command Message	4461	Joystick 1 Lamp 2 Command	0 to 3
64817	Joystick Lamp Command Message	4462	Joystick 1 Lamp 3 Command	0 to 3
64817	Joystick Lamp Command Message	4463	Joystick 1 Lamp 4 Command	0 to 3
64817	Joystick Lamp Command Message	4464	Joystick 1 Lamp 5 Command	0 to 3
64817	Joystick Lamp Command Message	4465	Joystick 1 Lamp 6 Command	0 to 3
64817	Joystick Lamp Command Message	4466	Joystick 1 Lamp 7 Command	0 to 3
64817	Joystick Lamp Command Message	4467	Joystick 1 Lamp 8 Command	0 to 3
64817	Joystick Lamp Command Message	4468	Joystick 1 Lamp 9 Command	0 to 3
64817	Joystick Lamp Command Message	4469	Joystick 1 Lamp 10 Command	0 to 3
64817	Joystick Lamp Command Message	4470	Joystick 2 Lamp 1 Command	0 to 3
64817	Joystick Lamp Command Message	4471	Joystick 2 Lamp 2 Command	0 to 3
64817	Joystick Lamp Command Message	4472	Joystick 2 Lamp 3 Command	0 to 3
64817	Joystick Lamp Command Message	4473	Joystick 2 Lamp 4 Command	0 to 3
64817	Joystick Lamp Command Message	4474	Joystick 2 Lamp 5 Command	0 to 3
64817	Joystick Lamp Command Message	4475	Joystick 2 Lamp 6 Command	0 to 3
64817	Joystick Lamp Command Message	4476	Joystick 2 Lamp 7 Command	0 to 3
64817	Joystick Lamp Command Message	4477	Joystick 2 Lamp 8 Command	0 to 3
64817	Joystick Lamp Command Message	4478	Joystick 2 Lamp 9 Command	0 to 3
64817	Joystick Lamp Command Message	4479	Joystick 2 Lamp 10 Command	0 to 3
64817	Joystick Lamp Command Message	4480	Joystick 3 Lamp 1 Command	0 to 3
64817	Joystick Lamp Command Message	4481	Joystick 3 Lamp 2 Command	0 to 3
64817	Joystick Lamp Command Message	4482	Joystick 3 Lamp 3 Command	0 to 3
64817	Joystick Lamp Command Message	4483	Joystick 3 Lamp 4 Command	0 to 3
64817	Joystick Lamp Command Message	4484	Joystick 3 Lamp 5 Command	0 to 3
64817	Joystick Lamp Command Message	4485	Joystick 3 Lamp 6 Command	0 to 3
64817	Joystick Lamp Command Message	4486	Joystick 3 Lamp 7 Command	0 to 3
64817	Joystick Lamp Command Message	4487	Joystick 3 Lamp 8 Command	0 to 3
64817	Joystick Lamp Command Message	4488	Joystick 3 Lamp 9 Command	0 to 3
64817	Joystick Lamp Command Message	4489	Joystick 3 Lamp 10 Command	0 to 3
64819	Aftertreatment 2 SCR Reagent Supply Information	4440	Aftertreatment 2 SCR Catalyst Reagent Pump Motor Speed (feedback on pump speed)	"0 to 32,127.5 rpm"
64819	Aftertreatment 2 SCR Reagent Supply Information	4441	Aftertreatment 2 SCR Catalyst Reagent Pump Drive Percentage (Command to pump)	0 to 100 %
64819	Aftertreatment 2 SCR Reagent Supply Information	4442	Aftertreatment 2 SCR Catalyst Reagent Return Valve (Directional command for return)	0 to 100 %
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4433	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Level	0 to 100 %
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4434	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Temperature	-40 to 210 deg C
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4435	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Level 2	"0 to 6,425.5 mm (0 to 6.4255 m)"
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4436	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Level Preliminary FMI	0 to 31
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4437	Aftertreatment 2 SCR Reagent Tank 2 Temperature Preliminary FMI	0 to 31
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4438	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Heater (light-off)	0 to 15
64820	Aftertreatment 2 SCR Reagant Tank 2 Information	4439	Aftertreatment 2 SCR Catalyst Reagent Tank 2 Heater Preliminary FMI	0 to 31
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4426	Aftertreatment 2 SCR Catalyst Tank Level	0 to 100 %
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4427	Aftertreatment 2 SCR Catalyst Tank Temperature	-40 to 210 deg C
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4428	Aftertreatment 2 SCR Catalyst Tank Level 2	"0 to 6,425.5 mm (0 to 6.4255 m)"
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4429	Aftertreatment 2 SCR Catalyst Tank Level Preliminary FMI	0 to 31
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4430	Aftertreatment 2 SCR Catalyst Reagent Tank 1 Temperature Preliminary FMI	0 to 31
64821	Aftertreatment 2 SCR Reagant Tank 1 Information	4432	Aftertreatment 2 SCR Catalyst Reagent Tank 1 Heater Preliminary FMI	0 to 31
64822	Aftertreatment 2 SCR Reagent Information	4420	Aftertreatment 2 SCR Catalyst Reagent Temperature 2	-40 to 210 deg C
64822	Aftertreatment 2 SCR Reagent Information	4421	Aftertreatment 2 SCR Catalyst Reagent Concentration	0 to 62.5 %
64822	Aftertreatment 2 SCR Reagent Information	4422	Aftertreatment 2 SCR Catalyst Reagent Conductivity	0 to 1250 microSiemens/mm
64822	Aftertreatment 2 SCR Reagent Information	4423	Aftertreatment 2 SCR Catalyst Reagent Temperature 2 Preliminary FMI	0 to 31
64822	Aftertreatment 2 SCR Reagent Information	4424	Aftertreatment 2 SCR Catalyst Reagent Properties Preliminary FMI	0 to 31
64822	Aftertreatment 2 SCR Reagent Information	4425	Aftertreatment 2 SCR Catalyst Reagent Type	0 to 15
64823	Aftertreatment 2 SCR Service Information	4417	Aftertreatment 2 SCR Average Catalyst Reagent Consumption (15 hr avg)	"0 to 3,212.75 L/h"
64823	Aftertreatment 2 SCR Service Information	4418	Aftertreatment 2 SCR Commanded Catalyst Reagent Consumption (15 hr avg)	"0 to 3,212.75 L/h"
64823	Aftertreatment 2 SCR Service Information	4419	Aftertreatment 2 SCR Catalyst Conversion Efficiency	0 to 100 %
64824	Aftertreatment 2 SCR Exhaust Gas Temperature	4413	Aftertreatment 2 SCR Catalyst Intake Gas Temperature	-273 to 1735 deg C
64824	Aftertreatment 2 SCR Exhaust Gas Temperature	4414	Aftertreatment 2 SCR Catalyst Intake Gas Temperature Preliminary FMI	0 to 31
64824	Aftertreatment 2 SCR Exhaust Gas Temperature	4415	Aftertreatment 2 SCR Catalyst Outlet Gas Temperature	-273 to 1735 deg C
64824	Aftertreatment 2 SCR Exhaust Gas Temperature	4416	Aftertreatment 2 SCR Catalyst Outlet Gas Temperature Preliminary FMI	0 to 31
64825	Aftertreatment 2 SCR Exhaust Gas Pressures	4411	Aftertreatment 2 SCR Catalyst Exhaust Gas Differential Pressure	"0 to 6,425.5 kPa"
64825	Aftertreatment 2 SCR Exhaust Gas Pressures	4412	Aftertreatment 2 SCR Catalyst Exhaust Gas Differential Pressure Preliminary FMI	0 to 31
64826	Aftertreatment 2 SCR Dosing System Requests 2	4405	Aftertreatment 2 SCR Doser Fault Suppression Request	0 to 3
64826	Aftertreatment 2 SCR Dosing System Requests 2	4406	Aftertreatment 2 SCR Doser Heating Mode Request	0 to 7
64826	Aftertreatment 2 SCR Dosing System Requests 2	4407	Aftertreatment 2 SCR Catalyst Reagent Line Heater 1 (request)	0 to 3
64826	Aftertreatment 2 SCR Dosing System Requests 2	4408	Aftertreatment 2 SCR Catalyst Reagent Line Heater 2 (request)	0 to 3
64826	Aftertreatment 2 SCR Dosing System Requests 2	4409	Aftertreatment 2 SCR Catalyst Reagent Line Heater 3 (request)	0 to 3
64826	Aftertreatment 2 SCR Dosing System Requests 2	4410	Aftertreatment 2 SCR Catalyst Reagent Line Heater 4 (request)	0 to 3
64827	Aftertreatment 2 SCR Dosing System Information 2	4388	Aftertreatment 2 SCR Dosing Air Assist Absolute Pressure	"0 to 2,000 kPa"
64827	Aftertreatment 2 SCR Dosing System Information 2	4389	"Aftertreatment 2 SCR Dosing Air Assist Valve (measured, 0 = closed)"	0 to 100 %
64827	Aftertreatment 2 SCR Dosing System Information 2	4390	Aftertreatment 2 SCR Dosing Reagent Temperature (closest to dosing valve)	-40 to 210 deg C
64827	Aftertreatment 2 SCR Dosing System Information 2	4391	Aftertreatment 2 SCR Dosing Valve Exhaust Temp. Reduction Request	0 to 7
64827	Aftertreatment 2 SCR Dosing System Information 2	4392	Aftertreatment 2 SCR Feedback Control Status (Open/Closed Loop)	0 to 7
64827	Aftertreatment 2 SCR Dosing System Information 2	4393	Aftertreatment 2 SCR Catalyst Reagent Line Heater 1 state	0 to 3
64827	Aftertreatment 2 SCR Dosing System Information 2	4394	Aftertreatment 2 SCR Catalyst Reagent Line Heater 1 Preliminary FMI	0 to 31
64827	Aftertreatment 2 SCR Dosing System Information 2	4395	Aftertreatment 2 SCR Catalyst Reagent Line Heater 2 state	0 to 3
64827	Aftertreatment 2 SCR Dosing System Information 2	4396	Aftertreatment 2 SCR Catalyst Reagent Line Heater 2 Preliminary FMI	0 to 31
64827	Aftertreatment 2 SCR Dosing System Information 2	4397	Aftertreatment 2 SCR Catalyst Reagent Line Heater 3 state	0 to 3
64827	Aftertreatment 2 SCR Dosing System Information 2	4398	Aftertreatment 2 SCR Catalyst Reagent Line Heater 3 Preliminary FMI	0 to 31
64827	Aftertreatment 2 SCR Dosing System Information 2	4399	Aftertreatment 2 SCR Catalyst Reagent Line Heater 4 state	0 to 3
64827	Aftertreatment 2 SCR Dosing System Information 2	4400	Aftertreatment 2 SCR Catalyst Reagent Line Heater 4 Preliminary FMI	0 to 31
64828	Aftertreatment 1 SCR Reagent Supply Information	4374	Aftertreatment 1 SCR Catalyst Reagent Pump Motor Speed (feedback on pump speed)	"0 to 32,127.5 rpm"
64828	Aftertreatment 1 SCR Reagent Supply Information	4375	Aftertreatment 1 SCR Catalyst Reagent Pump Drive Percentage (Command to pump)	0 to 100 %
64828	Aftertreatment 1 SCR Reagent Supply Information	4376	Aftertreatment 1 SCR Catalyst Reagent Return Valve (Directional command for return)	0 to 100 %
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4367	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Level	0 to 100 %
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4368	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Temperature	-40 to 210 deg C
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4369	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Level 2	"0 to 6,425.5 mm (0 to 6.4255 m)"
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4370	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Level Preliminary FMI	0 to 31
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4371	Aftertreatment 1 SCR Reagent Tank 2 Temperature Preliminary FMI	0 to 31
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4372	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Heater (light-off)	0 to 100 %
64829	Aftertreatment 1 SCR Reagant Tank 2 Information	4373	Aftertreatment 1 SCR Catalyst Reagent Tank 2 Heater Preliminary FMI	0 to 31
64830	Aftertreatment 1 SCR Exhaust Gas Temperature	4360	Aftertreatment 1 SCR Catalyst Intake Gas Temperature	-273 to 1735 deg C
64830	Aftertreatment 1 SCR Exhaust Gas Temperature	4361	Aftertreatment 1 SCR Catalyst Intake Gas Temperature Preliminary FMI	0 to 31
64830	Aftertreatment 1 SCR Exhaust Gas Temperature	4363	Aftertreatment 1 SCR Catalyst Outlet Gas Temperature	-273 to 1735 deg C
64830	Aftertreatment 1 SCR Exhaust Gas Temperature	4362	Aftertreatment 1 SCR Catalyst Outlet Gas Temperature Preliminary FMI	0 to 31
64831	Aftertreatment 1 SCR Exhaust Gas Pressures	4358	Aftertreatment 1 SCR Catalyst Exhaust Gas Differential Pressure	"0 to 6,425.5 kPa"
64831	Aftertreatment 1 SCR Exhaust Gas Pressures	4359	Aftertreatment 1 SCR Catalyst Exhaust Gas Differential Pressure Preliminary FMI	0 to 31
64832	Aftertreatment 1 SCR Dosing System Requests 2	4352	Aftertreatment 1 SCR Doser Fault Suppression Request	0 to 3
64832	Aftertreatment 1 SCR Dosing System Requests 2	4353	Aftertreatment 1 SCR Doser Heating Mode Request	0 to 7
64832	Aftertreatment 1 SCR Dosing System Requests 2	4354	Aftertreatment 1 SCR Catalyst Reagent Line Heater 1 (request)	0 to 3
64832	Aftertreatment 1 SCR Dosing System Requests 2	4355	Aftertreatment 1 SCR Catalyst Reagent Line Heater 2 (request)	0 to 3
64832	Aftertreatment 1 SCR Dosing System Requests 2	4356	Aftertreatment 1 SCR Catalyst Reagent Line Heater 3 (request)	0 to 3
